passId,phase,status,validation
passId,phase,status,validation,conceptHierarchy.totalConcepts,conceptHierarchy.maxLevel,conceptHierarchy.rootCount,conceptHierarchy.leafCount,conceptHierarchy.averageDepth,conceptHierarchy.edgeCount,knowledgeGraph.nodeCount,knowledgeGraph.edgeCount,knowledgeGraph.adjacencyCount,knowledgeGraph.averageImportance,pagerankScores.node-1,pagerankScores.node-2,pagerankScores.node-4,pagerankScores.node-6,pagerankScores.node-7,pagerankScores.node-9,pagerankScores.node-11,pagerankScores.node-13,pagerankScores.node-14,pagerankScores.node-16,pagerankScores.node-18,pagerankScores.node-20,pagerankScores.node-21,pagerankScores.node-23,pagerankScores.node-25,pagerankScores.node-27,pagerankScores.node-29,pagerankScores.node-31,pagerankScores.node-39,pagerankScores.node-46,pagerankScores.node-53,pagerankScores.node-60,pagerankScores.node-67,pagerankScores.node-74,pagerankScores.node-75,pagerankScores.node-77,pagerankScores.node-79,pagerankScores.node-81,pagerankScores.node-83,pagerankScores.node-85,pagerankScores.node-93,pagerankScores.node-100,pagerankScores.node-107,pagerankScores.node-114,pagerankScores.node-127,pagerankScores.node-128,pagerankScores.node-130,pagerankScores.node-132,pagerankScores.node-134,pagerankScores.node-136,pagerankScores.node-138,pagerankScores.node-146,pagerankScores.node-153,pagerankScores.node-160,pagerankScores.node-167,pagerankScores.node-174,pagerankScores.node-181,graphStatistics.nodeCount,graphStatistics.edgeCount,graphStatistics.density,graphStatistics.averageDegree,graphStatistics.averageClusteringCoefficient,graphStatistics.diameter,graphStatistics.connectedComponents,embeddings.count,embeddings.dimensions,similarityMatrix.count,clusterAssignments.clusterCount,clusterAssignments.assignmentCount,clusterGraph.nodeCount,clusterGraph.edgeCount,clusterGraph.totalClusters,clusterGraph.averageClusterSize,deduplicationResult.duplicateCount,deduplicationResult.totalItems,deduplicationResult.uniqueItems,compressionData.compressionRatio,compressionData.originalBytes,compressionData.quantizedBytes
pre-glob-resolver,PARSING,unknown,pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glob-resolver,PARSING,success,pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-file-reader,PARSING,unknown,pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
file-reader,PARSING,success,pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-frontmatter-parser,PARSING,unknown,pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frontmatter-parser,PARSING,success,pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-mdast-parser,PARSING,unknown,pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mdast-parser,PARSING,success,pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-link-extractor,ANALYSIS,unknown,pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
link-extractor,ANALYSIS,success,pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-entity-extractor,ANALYSIS,unknown,pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity-extractor,ANALYSIS,success,pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-keyword-extractor,ANALYSIS,unknown,pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keyword-extractor,ANALYSIS,success,pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-concept-hierarchy,ANALYSIS,unknown,pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
concept-hierarchy,ANALYSIS,success,pass,132,4,3,111,2.696969696969697,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
